Applications,Time,Value
Other,1990,19.433
Other,1991,20.16
Other,1992,21.44
Other,1993,22.333
Other,1994,24.513
Other,1995,25.454
Other,1996,27.294
Other,1997,29.319
Other,1998,30.655
Other,1999,32.965
Other,2000,34.694
Other,2001,35.538
Other,2002,37.812
Other,2003,39.383
Other,2004,41.888
Other,2005,43.074
Other,2006,45.793
Other,2007,48.356
Other,2008,46.076
Other,2009,47.253
Other,2010,51.246
Other,2011,53.273
Other,2012,55.242
Other,2013,57.555
Other,2014,58.528
Other,2015,60.28
Other,2016,61.139
Other,2017,62.728
Other,2018,64.576
Other,2019,66.315
Packaging,1990,39.82
Packaging,1991,41.35
Packaging,1992,44.021
Packaging,1993,45.901
Packaging,1994,50.433
Packaging,1995,52.424
Packaging,1996,56.273
Packaging,1997,60.512
Packaging,1998,63.337
Packaging,1999,68.182
Packaging,2000,71.837
Packaging,2001,73.664
Packaging,2002,78.464
Packaging,2003,81.814
Packaging,2004,87.116
Packaging,2005,89.684
Packaging,2006,95.452
Packaging,2007,100.909
Packaging,2008,96.262
Packaging,2009,98.835
Packaging,2010,107.333
Packaging,2011,111.73
Packaging,2012,116.018
Packaging,2013,121.045
Packaging,2014,123.263
Packaging,2015,128.013
Packaging,2016,130.902
Packaging,2017,134.632
Packaging,2018,138.448
Packaging,2019,142.599
Consumer & institutional Products,1990,13.77
Consumer & institutional Products,1991,14.277
Consumer & institutional Products,1992,15.177
Consumer & institutional Products,1993,15.801
Consumer & institutional Products,1994,17.336
Consumer & institutional Products,1995,17.993
Consumer & institutional Products,1996,19.286
Consumer & institutional Products,1997,20.708
Consumer & institutional Products,1998,21.642
Consumer & institutional Products,1999,23.263
Consumer & institutional Products,2000,24.474
Consumer & institutional Products,2001,25.06
Consumer & institutional Products,2002,26.654
Consumer & institutional Products,2003,27.751
Consumer & institutional Products,2004,29.506
Consumer & institutional Products,2005,30.332
Consumer & institutional Products,2006,32.236
Consumer & institutional Products,2007,34.029
Consumer & institutional Products,2008,32.415
Consumer & institutional Products,2009,33.233
Consumer & institutional Products,2010,36.041
Consumer & institutional Products,2011,37.465
Consumer & institutional Products,2012,38.849
Consumer & institutional Products,2013,40.476
Consumer & institutional Products,2014,41.161
Consumer & institutional Products,2015,42.235
Consumer & institutional Products,2016,42.938
Consumer & institutional Products,2017,44.026
Consumer & institutional Products,2018,45.307
Consumer & institutional Products,2019,46.662
Building & construction,1990,21.872
Building & construction,1991,22.684
Building & construction,1992,24.119
Building & construction,1993,25.116
Building & construction,1994,27.558
Building & construction,1995,28.606
Building & construction,1996,30.661
Building & construction,1997,32.922
Building & construction,1998,34.405
Building & construction,1999,36.978
Building & construction,2000,38.897
Building & construction,2001,39.82
Building & construction,2002,42.341
Building & construction,2003,44.072
Building & construction,2004,46.843
Building & construction,2005,48.135
Building & construction,2006,51.134
Building & construction,2007,53.952
Building & construction,2008,51.366
Building & construction,2009,52.633
Building & construction,2010,57.087
Building & construction,2011,59.35
Building & construction,2012,61.545
Building & construction,2013,64.123
Building & construction,2014,65.204
Building & construction,2015,66.882
Building & construction,2016,68.234
Building & construction,2017,71.105
Building & construction,2018,74.301
Building & construction,2019,76.893
Electrical/electronics,1990,5.251
Electrical/electronics,1991,5.444
Electrical/electronics,1992,5.787
Electrical/electronics,1993,6.024
Electrical/electronics,1994,6.608
Electrical/electronics,1995,6.858
Electrical/electronics,1996,7.349
Electrical/electronics,1997,7.89
Electrical/electronics,1998,8.245
Electrical/electronics,1999,8.861
Electrical/electronics,2000,9.321
Electrical/electronics,2001,9.542
Electrical/electronics,2002,10.147
Electrical/electronics,2003,10.562
Electrical/electronics,2004,11.228
Electrical/electronics,2005,11.54
Electrical/electronics,2006,12.262
Electrical/electronics,2007,12.941
Electrical/electronics,2008,12.324
Electrical/electronics,2009,12.633
Electrical/electronics,2010,13.699
Electrical/electronics,2011,14.24
Electrical/electronics,2012,14.766
Electrical/electronics,2013,15.383
Electrical/electronics,2014,15.643
Electrical/electronics,2015,15.942
Electrical/electronics,2016,15.903
Electrical/electronics,2017,16.264
Electrical/electronics,2018,16.815
Electrical/electronics,2019,17.305
Transportation - other,1990,14.752
Transportation - other,1991,15.342
Transportation - other,1992,16.358
Transportation - other,1993,17.082
Transportation - other,1994,18.797
Transportation - other,1995,19.567
Transportation - other,1996,21.033
Transportation - other,1997,22.649
Transportation - other,1998,23.738
Transportation - other,1999,25.588
Transportation - other,2000,26.995
Transportation - other,2001,27.717
Transportation - other,2002,29.559
Transportation - other,2003,30.859
Transportation - other,2004,32.898
Transportation - other,2005,33.907
Transportation - other,2006,36.129
Transportation - other,2007,38.237
Transportation - other,2008,36.516
Transportation - other,2009,37.531
Transportation - other,2010,40.853
Transportation - other,2011,42.623
Transportation - other,2012,44.358
Transportation - other,2013,46.381
Transportation - other,2014,47.333
Transportation - other,2015,48.23
Transportation - other,2016,48.885
Transportation - other,2017,50.434
Transportation - other,2018,52.553
Transportation - other,2019,54.431
Marine coatings,1990,0.163
Marine coatings,1991,0.169
Marine coatings,1992,0.18
Marine coatings,1993,0.187
