Country or administrative area,Area,Coast length,Rainfall,MPW,ME,Ratio ME/MPW
Albania,28486,362,1117,69833,1565,2.24
Algeria,2316559,998,80,764578,5774,0.76
Angola,1247357,1600,1025,236946,860,0.36
Antigua and Barbuda,443,153,996,627,2,0.29
Argentina,2779705,4989,567,465808,4137,0.89
Australia,7687219,25760,480,5266,32,0.6
Bahamas,13336,3542,1006,2212,20,0.92
Bahrain,673,161,73,1043,0,0.0
Bangladesh,136478,2320,2249,1021990,24640,2.41
Barbados,439,97,1512,872,45,5.14
Belgium,30671,67,844,2284,34,1.48
Belize,22217,386,2003,6021,374,6.22
Benin,115542,121,1035,133335,1639,1.23
Bosnia and Herzegovina,50993,20,1031,55551,6,0.01
Brazil,8484839,7491,1746,3296700,37799,1.15
Brunei,5880,161,3392,692,134,19.36
Bulgaria,111300,354,590,3117,7,0.22
Burkina Faso,273367,354,752,317298,0,0.0
Myanmar,667871,1930,2015,434432,2544,0.59
Cambodia,181380,443,1787,247495,1113,0.45
Cameroon,466295,402,1612,578798,10671,1.84
Canada,9924777,202080,468,23587,238,1.01
Cape Verde,4058,965,204,3568,0,0.0
Chile,754237,6435,957,30767,322,1.05
China,9373898,14500,561,12272200,70707,0.58
Colombia,1137921,3208,2632,85454,431,0.5
Comoros,1671,340,1993,59158,0,0.0
Congo,341574,169,1644,65291,676,1.04
Congo (Democratic Republic of the),2327986,37,1575,1369730,420,0.03
Costa Rica,51222,1290,2856,5751,450,7.82
Côte d'Ivoire,321882,515,1274,291614,4784,1.64
Croatia,56377,5835,966,17544,224,1.28
Cyprus,9013,648,482,837,3,0.33
Denmark,44441,7314,673,390,9,2.42
Djibouti,21679,314,169,10289,4,0.04
Dominica,767,148,1827,1082,53,4.88
Dominican Republic,48183,1288,1366,194018,6276,3.23
Ecuador,256212,2237,1985,108797,1136,1.04
Egypt,982443,2900,20,1435510,2471,0.17
El Salvador,20580,307,1803,21693,808,3.73
Equatorial Guinea,26987,296,2223,9403,405,4.31
Eritrea,122099,2234,361,84088,48,0.06
Estonia,45438,3794,644,600,12,1.94
Federated States of Micronesia,692,1117,3821,447,37,8.28
Fiji,18298,1129,2570,3858,365,9.45
Finland,335647,125,580,2621,0,0.0
France,548780,4668,847,27780,235,0.85
French Guiana,83267,459,2704,126,7,5.56
Gabon,264716,885,1838,5991,445,7.42
Gambia,10797,80,789,35095,421,1.2
Georgia,69798,310,1090,307,3,0.98
Germany,357242,2389,778,50676,134,0.26
Ghana,238761,539,1211,520002,4185,0.8
